"year","age","sex","people","perc"
2058,60,1,15105569,8.0
2058,65,1,14264145,7.5
2058,70,1,13402459,7.1
2058,75,1,11497236,6.1
2058,80,1,8158135,4.3
2058,85,1,5232638,2.8
2058,90,1,4771880,2.5
2059,15,1,8673092,4.6
2059,20,1,11307943,6.0
2059,25,1,11790692,6.3
2059,30,1,12311827,6.5
2059,35,1,12925372,6.9
2059,40,1,13573861,7.2
2059,45,1,14286647,7.6
2059,50,1,15056039,8.0
2059,55,1,15605163,8.3
2059,60,1,15126051,8.0
2059,65,1,14267823,7.6
2059,70,1,13279838,7.1
2059,75,1,11712016,6.2
2059,80,1,8389364,4.5
2059,85,1,5337832,2.8
2059,90,1,4899392,2.6
2060,15,1,8568748,4.5
2060,20,1,11187812,5.9
2060,25,1,11692041,6.3
2060,30,1,12184747,6.5
2060,35,1,12785474,6.8
2060,40,1,13417981,7.1
2060,45,1,14102602,7.5
2060,50,1,14849297,7.9
2060,55,1,15485087,8.3
2060,60,1,15139410,8.0
2060,65,1,14270191,7.6
2060,70,1,13193419,7.1
2060,75,1,11836481,6.3
2060,80,1,8625639,4.6
2060,85,1,5461797,2.9
2060,90,1,5024073,2.7
